Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Jamison Battle,TOR,59,21,38,17.7,7483.8,1.42,0.73,0.68,4.48,4.71,4.27,2.29,1.17,1.09,7.21,7.58,6.87,24,113.4,2.1,11.7,18.0,0.3,10.4,0.2,12.8,7.3,5.3,7.2,19.0,0.048,1.7,1.0,0.7,4.66,2.38,2.22
Jaxson Hayes,LAL,56,38,18,19.5,7535.8,1.43,0.76,0.67,4.11,4.3,3.92,2.3,1.22,1.08,6.61,6.92,6.31,25,109.8,3.4,16.3,24.2,0.6,17.8,0.9,45.1,6.5,5.4,7.8,18.8,0.074,3.7,2.3,1.4,4.25,2.25,1.99
Orlando Robinson,TOR,44,23,21,17.5,7220.8,1.37,0.7,0.67,4.35,4.49,4.21,2.2,1.13,1.08,7.0,7.23,6.78,24,109.2,3.0,16.1,24.7,0.4,12.9,0.4,25.8,6.4,5.5,6.3,18.0,0.069,1.2,0.4,0.8,4.53,2.32,2.22
Garrison Mathews,ATL,47,21,26,17.6,7369.4,1.4,0.74,0.66,4.4,4.82,4.02,2.25,1.19,1.06,7.08,7.76,6.47,28,111.4,1.6,8.5,12.9,0.6,17.4,0.3,15.8,6.6,5.1,5.6,17.1,0.058,1.5,1.0,0.5,4.6,2.43,2.17
Moussa Diabaté,CHA,71,15,56,17.5,7213.0,1.37,0.71,0.66,4.34,4.46,4.21,2.2,1.14,1.06,6.98,7.18,6.78,23,110.3,3.5,20.9,32.2,0.6,22.0,0.6,34.8,7.1,4.8,5.2,16.9,0.062,3.2,1.8,1.5,4.53,2.35,2.18
Dalton Knecht,LAL,78,47,31,19.1,7664.7,1.45,0.79,0.66,4.23,4.52,3.94,2.33,1.27,1.06,6.81,7.27,6.34,24,114.9,2.3,11.6,18.5,0.3,11.5,0.1,6.8,6.9,6.5,6.5,19.5,0.043,2.7,1.7,1.0,4.39,2.39,2.0
Day'Ron Sharpe,BKN,50,14,36,18.1,7403.3,1.4,0.75,0.65,4.29,4.53,4.05,2.25,1.21,1.05,6.9,7.29,6.52,23,107.1,3.6,20.2,30.8,0.8,26.8,0.8,45.2,7.1,5.6,5.3,17.3,0.081,2.7,1.3,1.4,4.48,2.41,2.09
Luke Kornet,BOS,73,53,20,18.6,7256.7,1.37,0.73,0.65,4.2,4.28,4.11,2.2,1.17,1.05,6.76,6.89,6.61,29,106.3,2.7,13.9,20.8,0.5,17.7,1.0,48.6,4.9,4.7,5.1,15.8,0.087,7.0,4.8,2.2,4.26,2.26,2.03
Chris Boucher,TOR,50,18,32,17.3,7056.8,1.34,0.7,0.64,4.33,4.51,4.15,2.16,1.13,1.03,6.97,7.26,6.68,32,113.5,3.1,17.5,27.9,0.5,17.3,0.5,32.5,6.2,5.5,5.6,17.3,0.045,2.7,1.7,1.0,4.49,2.35,2.14
Cole Anthony,MEM,67,35,32,18.4,7581.8,1.44,0.79,0.64,4.35,4.66,4.02,2.32,1.27,1.03,7.0,7.5,6.47,25,109.0,2.4,13.1,19.7,0.7,21.7,0.5,19.3,6.3,4.3,4.7,16.3,0.068,2.0,0.0,2.0,4.54,2.48,2.02
Nicolas Batum,LAC,78,47,31,17.5,7024.4,1.33,0.7,0.63,4.22,4.34,4.09,2.14,1.13,1.01,6.79,6.98,6.58,36,104.7,2.2,11.7,17.3,0.7,20.9,0.5,24.7,6.2,4.6,5.5,16.4,0.093,3.5,1.5,2.0,4.4,2.32,2.08
Jonas Valančiūnas,SAC,81,23,58,18.8,7139.1,1.35,0.72,0.63,4.02,4.15,3.88,2.17,1.16,1.01,6.47,6.68,6.24,33,118.8,5.4,28.6,41.3,0.5,17.6,0.6,35.1,8.1,5.6,6.3,19.2,0.022,4.3,2.6,1.7,4.16,2.22,1.93
Gary Payton II,GSW,62,36,26,14.9,6786.0,1.29,0.65,0.63,4.8,5.09,4.54,2.08,1.05,1.01,7.72,8.19,7.31,32,110.1,2.1,13.4,21.2,0.8,26.7,0.3,16.2,5.3,4.4,4.2,14.7,0.056,3.0,1.5,1.5,5.03,2.54,2.44
Vasilije Micić,PHX,41,8,33,19.1,7559.4,1.43,0.81,0.62,4.19,4.62,3.75,2.3,1.3,1.0,6.74,7.44,6.04,31,109.4,1.7,8.5,12.9,0.4,12.7,0.0,0.0,8.0,5.4,7.0,20.1,0.073,-1.0,-1.2,0.2,4.34,2.45,1.88
Simone Fontecchio,DET,75,38,37,16.5,7079.1,1.34,0.72,0.62,4.54,4.9,4.18,2.16,1.16,1.0,7.31,7.89,6.73,29,109.5,2.2,12.7,18.9,0.4,15.2,0.2,9.2,6.5,4.8,5.2,16.3,0.065,1.6,0.4,1.2,4.71,2.53,2.18
Alec Burks,MIA,49,26,23,17.6,6929.9,1.31,0.7,0.62,4.18,4.33,4.03,2.11,1.13,1.0,6.73,6.97,6.49,33,107.6,2.2,11.9,17.8,0.6,20.7,0.1,10.6,5.5,4.6,5.4,18.1,0.077,1.8,0.9,0.9,4.32,2.31,2.05
Kris Murray,POR,69,31,38,15.1,6426.0,1.22,0.61,0.61,4.47,4.56,4.37,1.96,0.98,0.98,7.19,7.34,7.03,24,107.8,1.5,9.6,15.5,0.5,16.7,0.2,16.0,6.3,4.5,5.3,15.2,0.067,0.7,-0.2,0.9,4.67,2.34,2.34
